epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,359.927,0.74898,0.79078,0.10147,0.3226,0.60128,0.27692,0.10968,0.49821,3.03169,0.08134,0.000664717,0.000664717,0.000664717
2,662.545,0.84108,0.79704,0.12866,nan,0.83156,0.24544,0.08631,nan,nan,nan,0.00100187,0.00100187,0.00100187
3,961.995,0.83987,0.78999,0.12177,nan,0.84861,0.27028,0.10132,nan,nan,nan,0.00100902,0.00100902,0.00100902
4,1262.56,0.80366,0.76688,0.10575,0.33151,0.73277,0.31215,0.12321,0.48591,1.74484,0.06635,0.000515,0.000515,0.000515
